날짜,거래량
2018.05.08,283609
2018.05.04,250645
2018.05.03,160008
2018.05.02,481022
2018.04.30,301187
2018.04.27,224354
2018.04.26,160817
2018.04.25,193147
2018.04.24,241832
2018.04.23,281511
2018.04.20,449700
2018.04.19,387575
2018.04.18,326116
2018.04.17,205032
2018.04.16,206598
2018.04.13,192949
2018.04.12,435362
2018.04.11,256776
2018.04.10,266823
2018.04.09,200895
2018.04.06,212790
2018.04.05,229060
2018.04.04,342937
2018.04.03,310331
2018.04.02,251850
2018.03.30,197801
2018.03.29,321782
2018.03.28,327875
2018.03.27,379520
2018.03.26,305737
2018.03.23,279735
2018.03.22,304230
2018.03.21,701779
2018.03.20,234587
2018.03.19,188076
2018.03.16,172779
2018.03.15,193711
2018.03.14,289324
2018.03.13,290175
2018.03.12,250611
2018.03.09,298126
2018.03.08,285108
2018.03.07,305820
2018.03.06,301848
2018.03.05,226581
2018.03.02,366895
2018.02.28,268832
2018.02.27,485399
2018.02.26,262779
2018.02.23,168708
2018.02.22,111676
2018.02.21,98428
2018.02.20,119398
2018.02.19,299924
2018.02.14,298794
2018.02.13,313954
2018.02.12,227383
2018.02.09,205863
2018.02.08,268602
2018.02.07,231904
2018.02.06,357380
2018.02.05,157309
2018.02.02,164227
2018.02.01,224203
2018.01.31,319763
2018.01.30,249512
2018.01.29,298648
2018.01.26,195282
2018.01.25,219407
2018.01.24,219891
2018.01.23,339103
2018.01.22,233783
2018.01.19,264504
2018.01.18,232619
2018.01.17,207340
2018.01.16,207134
2018.01.15,223974
2018.01.12,332236
2018.01.11,348044
2018.01.10,251898
2018.01.09,414873
2018.01.08,279136
2018.01.05,1016729
2018.01.04,328903
2018.01.03,227775
2018.01.02,319909
2017.12.28,162392
2017.12.27,198722
2017.12.26,182198
2017.12.22,179043
2017.12.21,230578
2017.12.20,177777
2017.12.19,269406
2017.12.18,208847
2017.12.15,571259
2017.12.14,423978
2017.12.13,479003
2017.12.12,205235
2017.12.11,141360
2017.12.08,232177
2017.12.07,187880
2017.12.06,158043
2017.12.05,185592
